"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизация","4","1","","0"
"0","","0","Booking API","3","0","Получение бронирования","0"
"0","","0","Booking API","1","0","Получение несуществующего бронирования","0"
"0","","0","Booking API","3","0","Создание бронирования","0"
"0","","0","Booking API","2","1","Создание бронирования с невалидными данными","0"
"0","","0","Booking API","1","1","Обновление бронирования с невалидными данными","0"
"0","","0","Booking API","1","0","Обновление бронирования без авторизации","0"
"0","","0","Booking API","1","0","Удаление бронирования","0"
"0","","0","Booking API","2","0","Обновление бронирования","0"
